dimention,Image name,Y-Image Dimentions,X-Image Dimentions
"(2592, 3888)",African_Bush_Elephant.jpg,2592,3888
"(2827, 1988)",African_bush_elephant_in_San_Diego_Zoo.jpg,2827,1988
"(4288, 3216)",Asian_Elephant_10.jpg,4288,3216
"(4662, 3087)",Barcelona_-_Mammoth_sculpture.JPG,4662,3087
"(5067, 3208)",Elefantes%2C_Ayutthaya%2C_Tailandia%2C_2013-08-23%2C_DD_10.jpg,5067,3208
"(5792, 8688)",Elefante_africano_de_sabana_%28Loxodonta_africana%29%2C_parque_nacional_Kruger%2C_Sud%C3%A1frica%2C_2018-07-25%2C_DD_19.jpg,5792,8688
"(1536, 1024)",Elephant_Kruger_2003.jpg,1536,1024
"(4272, 2848)",Elephas_Maximus_Eye_Closeup.jpg,4272,2848
"(2248, 1499)",Etosha_elefant.jpg,2248,1499
"(3457, 2592)",Loxodonta_africana_-_drinking.jpg,3457,2592
